Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68839f12902a036119b7ab88,611098e0196fa40fa49f3aeb,APPROVED,Not Applicable,2025-07-25T15:13:28.634000Z,2025-07-25T15:14:58.679000Z,2025-07-25T15:15:00.999000Z,2025-07-25T15:15:00.618922Z,91.0,C4H367G4,4829,English,25,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
68839f170d24e493bf108240,5b5a822e1ad8270001c4f28d,APPROVED,Not Applicable,2025-07-25T15:13:31.224000Z,2025-07-25T15:15:33.265000Z,2025-07-25T15:15:36.204000Z,2025-07-25T15:15:34.210618Z,123.0,C4H367G4,12190,English,44,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68839f5ac2512787de97f77e,5e0696dea7fba607951ae479,APPROVED,Not Applicable,2025-07-25T15:14:38.929000Z,2025-07-25T15:15:36.551000Z,2025-07-25T15:15:38.653000Z,2025-07-25T15:15:37.514871Z,58.0,C4H367G4,11510,English,40,Male,Black,United States,United States,United States,English,No,Full-Time
68839fb1fcf24b1e1ba5c6ff,66293d5a64d7c17108483f34,APPROVED,Not Applicable,2025-07-25T15:16:05.505000Z,2025-07-25T15:16:48.650000Z,2025-07-25T15:16:51.487000Z,2025-07-25T15:16:49.463352Z,44.0,C4H367G4,2229,English,40,Female,White,United States,United States,United States,English,No,Full-Time
68839fd78a5a896974a449ad,6751aca3df77a73a16f32127,APPROVED,Not Applicable,2025-07-25T15:16:45.957000Z,2025-07-25T15:18:09.743000Z,2025-07-25T15:18:14.620000Z,2025-07-25T15:18:11.451780Z,84.0,C4H367G4,428,English,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6883a008fd4edd4569ab4459,60131babd3a5ad18ed8b15a3,APPROVED,Not Applicable,2025-07-25T15:17:33.667000Z,2025-07-25T15:19:04.253000Z,2025-07-25T15:19:06.423000Z,2025-07-25T15:19:05.249260Z,91.0,C4H367G4,1820,English,25,Female,White,United States,United States,United States,English,No,Full-Time
6883a00a233184751e715b08,67001b28a9974a03b6ffec54,APPROVED,Not Applicable,2025-07-25T15:17:33.210000Z,2025-07-25T15:19:13.557000Z,2025-07-25T15:19:17.896000Z,2025-07-25T15:19:14.533651Z,101.0,C4H367G4,2349,English,35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6883a00fa462c3b4f923252b,65d53cf473e1b96ac92b5f33,APPROVED,Not Applicable,2025-07-25T15:17:38.754000Z,2025-07-25T15:18:13.456000Z,2025-07-25T15:18:16.539000Z,2025-07-25T15:18:15.221590Z,35.0,C4H367G4,3013,"English, Chinese",24,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6883a07112bbbb60d625ab79,5bb9cca600312000015713d8,APPROVED,Not Applicable,2025-07-25T15:19:18.675000Z,2025-07-25T15:20:32.354000Z,2025-07-25T15:20:34.170000Z,2025-07-25T15:20:33.358107Z,74.0,C4H367G4,2656,English,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6883a07c201831a5be775a16,62961bfdbe5f238d3225db72,APPROVED,Not Applicable,2025-07-25T15:19:29.121000Z,2025-07-25T15:21:01.926000Z,2025-07-25T15:21:05.005000Z,2025-07-25T15:21:02.753026Z,93.0,C4H367G4,8019,English,44,Female,White,United States,United States,United States,English,No,Full-Time
6883a096902a036119b7ac0d,62b9c2f1e55fe9f17dfedc5d,APPROVED,Not Applicable,2025-07-25T15:20:18.504000Z,2025-07-25T15:21:25.254000Z,2025-07-25T15:21:33.020000Z,2025-07-25T15:21:26.280241Z,67.0,C4H367G4,8406,English,46,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
6883a0a94f7a48bb338cfe8e,6384ec504af00dd4483f521e,APPROVED,Not Applicable,2025-07-25T15:20:15.053000Z,2025-07-25T15:21:46.327000Z,2025-07-25T15:21:49.336000Z,2025-07-25T15:21:47.261152Z,92.0,C4H367G4,2100,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6883a0ae16239ae293e251ab,62ed458d61ebd1930833e95a,APPROVED,Not Applicable,2025-07-25T15:20:18.511000Z,2025-07-25T15:21:23.303000Z,2025-07-25T15:21:27.457000Z,2025-07-25T15:21:24.303348Z,65.0,C4H367G4,7660,English,61,Male,White,United States,United States,United States,English,No,Part-Time
